Console Name,Game Name,Original Name
ARCADE,typhoon,typhoon.zip
ARCADE,uccopsj,uccopsj.zip
ARCADE,vandyke,vandyke.zip
ARCADE,vaportra,vaportra.zip
ARCADE,vasara,vasara.zip
ARCADE,vasara2,vasara2.zip
ARCADE,vendetta,vendetta.zip
ARCADE,vfive,vfive.zip
ARCADE,victroad,victroad.zip
ARCADE,vigilant,vigilant.zip
ARCADE,viostorm,viostorm.zip
ARCADE,vmetal,vmetal.zip
ARCADE,warriorb,warriorb.zip
ARCADE,wb3,wb3.zip
ARCADE,wboy,wboy.zip
ARCADE,wizdfire,wizdfire.zip
ARCADE,wrofaero,wrofaero.zip
ARCADE,xexex,xexex.zip
ARCADE,xmen,xmen.zip
ARCADE,xmen2p,xmen2p.zip
ARCADE,xmultipl,xmultipl.zip
ARCADE,yiear,yiear.zip
ARCADE,zeroteam,zeroteam.zip
ARCADE,zeroteams,zeroteams.zip
ARCADE,zerotm2k,zerotm2k.zip
ARCADE,zerowing,zerowing.zip
ARCADE,zingzip,zingzip.zip
ARCADE,zunkyou,zunkyou.zip
CPS1+2,1941,1941.zip
CPS1+2,armwar,armwar.zip
CPS1+2,avsp,avsp.zip
CPS1+2,batcir,batcir.zip
CPS1+2,captcomm,captcomm.zip
CPS1+2,cawing,cawing.zip
CPS1+2,cybots,cybots.zip
CPS1+2,ddsom,ddsom.zip
CPS1+2,ddtod,ddtod.zip
CPS1+2,dimahoo,dimahoo.zip
CPS1+2,dino,dino.zip
CPS1+2,dinoh,dinoh.zip
CPS1+2,dinohunt,dinohunt.zip
CPS1+2,dstlk,dstlk.zip
CPS1+2,dynwar,dynwar.zip
CPS1+2,dynwarjr,dynwarjr.zip
CPS1+2,ecofghtr,ecofghtr.zip
CPS1+2,ffight,ffight.zip
CPS1+2,ffightjh,ffightjh.zip
CPS1+2,forgottn,forgottn.zip
CPS1+2,ganbare,ganbare.zip
CPS1+2,ghouls,ghouls.zip
CPS1+2,gigawing,gigawing.zip
CPS1+2,hsf2,hsf2.zip
CPS1+2,knights,knights.zip
CPS1+2,knightsh,knightsh.zip
CPS1+2,kod,kod.zip
CPS1+2,kodh,kodh.zip
CPS1+2,mbombrd,mbombrd.zip
CPS1+2,megaman,megaman.zip
CPS1+2,megaman2,megaman2.zip
CPS1+2,mercs,mercs.zip
CPS1+2,mmatrix,mmatrix.zip
CPS1+2,mpang,mpang.zip
CPS1+2,msh,msh.zip
CPS1+2,mshvsf,mshvsf.zip
CPS1+2,msword,msword.zip
CPS1+2,mtwins,mtwins.zip
CPS1+2,mvsc,mvsc.zip
CPS1+2,nemo,nemo.zip
CPS1+2,nwarr,nwarr.zip
CPS1+2,pang3,pang3.zip
CPS1+2,pnickj,pnickj.zip
CPS1+2,progear,progear.zip
CPS1+2,punisher,punisher.zip
CPS1+2,punisherbz,punisherbz.zip
CPS1+2,ringdest,ringdest.zip
CPS1+2,sf2,sf2.zip
CPS1+2,sf2ce,sf2ce.zip
CPS1+2,sf2dongb,sf2dongb.zip
CPS1+2,sf2hf,sf2hf.zip
CPS1+2,sf2koryu,sf2koryu.zip
CPS1+2,sf2mdt,sf2mdt.zip
CPS1+2,sf2rb,sf2rb.zip
CPS1+2,sf2red,sf2red.zip
CPS1+2,sf2tlona,sf2tlona.zip
CPS1+2,sfa,sfa.zip
CPS1+2,sfa2,sfa2.zip
CPS1+2,sfa3,sfa3.zip
CPS1+2,sfz2al,sfz2al.zip
CPS1+2,sfzch,sfzch.zip
CPS1+2,sgemf,sgemf.zip
CPS1+2,sgyxz,sgyxz.zip
CPS1+2,slammast,slammast.zip
CPS1+2,spf2t,spf2t.zip
CPS1+2,ssf2,ssf2.zip
CPS1+2,ssf2t,ssf2t.zip
CPS1+2,strider,strider.zip
CPS1+2,unsquad,unsquad.zip
CPS1+2,varth,varth.zip
CPS1+2,vhunt2,vhunt2.zip
CPS1+2,vsav,vsav.zip
CPS1+2,vsav2,vsav2.zip
CPS1+2,willow,willow.zip
CPS1+2,wof,wof.zip
CPS1+2,wof3js,wof3js.zip
CPS1+2,wofch,wofch.zip
CPS1+2,wofhfh,wofhfh.zip
CPS1+2,wofj,wofj.zip
CPS1+2,wofsjb,wofsjb.zip
CPS1+2,xmcota,xmcota.zip
CPS1+2,xmvsf,xmvsf.zip
CPS3,jojo,jojo.zip
