Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
FC,metalfighter1,410 Metal Fighter.nes,18,metalgear1,74.4100021441,12,78
GB,firefighter1,Fire Fighter.gb,33,pitfighter1,49.9960001877,17,78
GB,waterworld1,Water World.gb,33,wayneiworld1,50.0,3,78
FC,gunman1,541 Sunman.nes,18,wildgunman1,60.6603236578,24,78
MD,ispacman1,268 Ms. Pac-Man.bin,29,pacmania1,52.951166277,12,78
GBA,medabotsaxmetabeeversion1,272 Medabots AX-Metabee Version.gba,24,medabotsmetabee1,79.9061630466,5,78
FC,spartani1,527 Spartan X.nes,18,paranoid1,81.8586389375,88,78
MD,garages1,341 Gaiares.bin,29,gargoyles1,75.3548181079,6,78
FC,battletank1,189 Battletank.nes,18,battletoads1,76.9452012299,106,78
NEOGEO,spinmast1,spinmast.zip,80,spinster1,70.0,4,78
FC,gyrodine1,336 Gyrodine.nes,18,gyromite1,49.7095771458,5,78
MD,superpingpong1,608 Super Ping Pong.bin,29,superhangon1,76.231352615,34,77
FC,bibleadventures1,191 Bible Adventures.nes,18,bonkiadventure1,60.5112690755,16,77
GBC,pokemongoldversion1,008 Pokemon-Gold Version.gbc,22,pokemongold1,86.1820131127,288,77
MD,burningforce1,128 Burning Force.bin,29,shiningforce1,81.344850228,34,77
FC,conan1,238 Conan.nes,18,contra1,79.911695885,19,77
FC,flappy1,309 Flappy.nes,18,happy1,70.2993836608,25,77
GBC,theworldisnotenough1,176 The World is Not Enough.gbc,22,jamesbond007theworldisnotenough1,72.860968522,32,77
GBC,tomandjerrymousehunt1,146 Tom and Jerry-Mousehunt.gbc,22,tomandjerryinhousetrap1,72.6261780397,17,77
FC,mysteryquest1,427 Mystery Quest.nes,18,festeriquest1,53.0870445424,6,77
MD,chameleonkid1,470 Chameleon Kid.bin,29,kidchameleon1,84.8830822997,30,77
FC,circuscaper1,230 Circus Caper.nes,18,circuscharlie1,75.225072392,37,77
FC,robowarrior1,481 Robo Warrior.nes,18,dragonwarrior1,71.6538149959,8,77
FC,dragonfighter1,272 Dragon Fighter.nes,18,roadfighter1,73.2270691599,29,77
GB,jordanisbird1,Jordan vs Bird.gb,33,jordanisbirdoneonone1,50.0,4,76
GB,battletoadsdoubledragon1,007 Battletoads & Double Dragon.gb,33,battletoadsdoubledragontheultimateteam1,71.0,1,76
MD,sonicpinball1,160 Sonic Spinball.bin,29,sonichedgehogpinball1,68.482814458,53,76
NEOGEO,doubled1,doubledr.zip,80,doubledragon1,55.3011348613,6,76
MD,superman1,288 Superman.bin,29,superhangon1,76.231352615,34,76
FC,theracketeer1,581 The Rocketeer.nes,18,theater1,69.3639206767,9,76
MD,pocahontas1,366 Pocahontas.bin,29,disneyipocahontas1,78.0965455565,8,76
PS,thecontraadventure1,08 The Contra Adventure,7,heriadventures1,80.9056007172,11,76
GB,thexiiiolympicwintergameslillehammer1994,The XVII Olympic Winter Games-Lillehammer 1994.gb,33,winterolympicgameslillehammer94,30.0,1,76
NEOGEO,journey1,bjourney.zip,80,blueijourney1,68.9341046973,7,76
MD,lighteningforce1,350 Lightening Force.bin,29,shiningforce1,81.344850228,34,76
GBA,dukenukeadvance1,810 Duke Nukem Advance.gba,24,takenadvance1,66.6666666667,5,76
FC,bugsbunnyblowout1,203 Bugs Bunny Blowout.nes,18,thebugsbunnybirthdayblowout1,57.4946850296,5,76
GG,supercolumns1,Super Columns.gg,35,columns1,63.6241260989,6,76
FC,balloon1,173 Baltron.nes,18,balloonfight1,66.788663793,73,76
FC,batmanreturns1,107 Batman Returns.nes,18,batmanreturnofjoker1,62.0562803464,23,76
GB,pocahontas1,158 Pocahontas.gb,33,disneyipocahontas1,38.0,0,76
PS,dragonballit1,Dragonball GT.bin,7,dragonballithelegend1,70.6359974179,17,76
NEOGEO,lastbld2,lastbld2.zip,80,thelastblade2,87.8825083201,12,76
NEOGEO,burning1,burningf.zip,80,burningfight1,51.797752809,5,76
MD,trigger1,340 Frogger.bin,29,strider1,67.2732563711,36,75
GBC,yodastories1,Yoda Stories.gbc,22,starwarsyodastories1,59.2084010918,6,75
GB,asteroidsmissilecommand1,064 Asteroids & Missile Command.gb,33,arcadeclassicno1asteroidsmissilecommand1,59.0,0,75
FC,happyland1,403 Mappy-Land.nes,18,happy1,70.2993836608,25,75
GBA,carsmaternational1,787 Cars Mater-National.gba,24,carsmaternationalchampionship1,69.7595439274,8,75
GBA,dragontalesdragonadventures1,211 Dragon Tales-Dragon Adventures.gba,24,dragonballadvancedadventure1,80.3013819335,38,75
FC,barman1,626 Warpman.nes,18,doberman1,72.0745027364,80,75
NEOGEO,turfmast1,turfmast.zip,80,neoturfmasters1,80.2622886668,9,75
PCE,bonkiiibonkibigadventure1,Bonk III - Bonk's Big Adventure (U).pce,86,bonkiadventure1,60.5112690755,16,75
GG,spidermaniskingpin1,003 Spider-man vs the Kingpin.gg,35,theamazingspidermanisthekingpin1,72.0808188939,14,75
FC,waiwaiworld1,713 Wai Wai World.nes,18,wayneiworld1,50.0,3,75
MD,dragonirevenge1,477 Dragon's Revenge.bin,29,doubledragoniitherevenge1,77.4763113637,71,75
MD,teenagemutantninjaturtlestournamentfighters1,188 Teenage Mutant Ninja Turtles-Tournament Fighters.bin,29,teenagemutantninjaturtlesthehyperstoneheist1,80.5481348523,41,75
GB,acestriker1,059 Ace Striker.gb,33,solarstriker1,47.5463906705,6,75
GB,paranoid1,063 Arkanoid.gb,33,afraid1,50.0,1,75
FC,battlestorm1,187 Battle Storm.nes,18,battletoads1,76.9452012299,106,75
GBA,radiusadvance1,526 Gradius Advance.gba,24,serioussamadvance1,70.0,8,75
MD,fuworldchampionshipedition1,404 F1 World Championship Edition.bin,29,worldchampionshipsoccer1,49.9260548064,6,75
FC,go1,672 Igo.nes,18,golf1,66.0291033124,18,75
MD,streetsmart1,036 Street Smart.bin,29,streetracer1,74.178027531,9,75
GG,seaman1,003 Megaman.gg,35,ispacman1,80.678519085,66,75
GB,chasehe1,Chase HQ.gb,33,chaseii1,67.4953078325,14,75
MD,wackyworlds1,127 Wacky Worlds.bin,29,wayneiworld1,50.0,3,75
MD,dynamiteduke1,056 Dynamite Duke.bin,29,dynamiteheady1,72.4826325111,21,74
GBA,contraadvance1,054 Contra Advance.gba,24,takenadvance1,66.6666666667,5,74
NEOGEO,blaster1,blazstar.zip,80,lastresort1,71.1255501265,6,74
GBA,dragonirock1,496 Dragon's Rock.gba,24,dragon1,47.0508795495,18,74
FC,powersoccer1,465 Power Soccer.nes,18,soccer1,55.2021604075,18,74
MD,addamsfamilyvalues1,384 Addams Family Values.bin,29,theaddamsfamily1,68.789968887,14,74
GB,thesimpsonskrustyifunhouse1,195 The Simpsons-Krusty's Funhouse.gb,33,krustyifunhouse1,65.8915682034,13,74
GB,mickeyichase1,Mickey's Chase.gb,33,mickeyidangerouschase1,50.0,1,74
MD,virtualpinball1,584 Virtual Pinball.bin,29,virtualbart1,59.8475077005,10,74
PCE,turricon1,015 Turricon.pce,86,hurricane1,84.4788979386,21,74
FC,usaicehockeyinfu1,616 USA Ice Hockey in FC.nes,18,icehockey1,70.9690895582,22,74
NEOGEO,fatfursp1,fatfursp.zip,80,fatalfury1,62.6294091243,29,74
FC,supercontra1,015 Super Contra.nes,18,contra1,79.911695885,19,74
FC,duckmaze1,279 Duck Maze.nes,18,ducktales1,82.1781705518,126,74
MD,supermonacograndprix1,121 Super Monaco Grand Prix.bin,29,supermonacogo1,69.798374723,13,74
GBC,tomjerryinmouseattacks1,145 Tom & Jerry in Mouse Attacks!.gbc,22,tomandjerryinhousetrap1,72.6261780397,17,74
MD,pinocchio1,433 Pinocchio.bin,29,disneyipinocchio1,60.1482889589,13,74
GB,fightingsimulator2in1,Fighting Simulator 2-in-1.gb,33,fightingsimulator2in1flyingwarriors1,40.0,0,74
GB,spudiadventure1,Spud's Adventure.gb,33,bonkiadventure1,72.0,2,73
MD,battlemania1,463 Battle Mania.bin,29,battlemaniadaiginjou1,80.0152928545,6,73
MD,tick1,519 Tick.bin,29,flick1,51.1980039621,13,73
GBA,iflblitz2003,737 NFL Blitz 2003.gba,24,nilhit2003,68.0,4,73
FC,yardfight1,641 Yard Fight.nes,18,roadfighter1,73.2270691599,29,73
GB,marioblast1,013 Wario Blast.gb,33,tearsblast1,82.0,1,73
GBA,baristaadvance1,223 Famista Advance.gba,24,mariopartyadvance1,59.3774997489,11,73
FC,kage1,063 Kage.nes,18,karev1,63.1635339143,17,73
FC,adventuresofradgravity1,149 Adventures of Rad Gravity.nes,18,adventuresofdinotiki1,50.974541975,9,73
