Console Name,Game Name_x,Original Name,Console ID,Game Name_y,rating,rating_count,similarity
GB,Godzilla,123 Godzilla.gb,33,Godzilla,57.0,3,100
MD,Golden Axe,010 Golden Axe.bin,29,Golden Axe,75.8737775561,166,100
MD,Golden Axe,010 Golden Axe.bin,29,Golden Axe 2,77.9756758387,51,91
MD,Golden Axe,010 Golden Axe.bin,29,Golden Axe 3,78.9024821175,38,91
MD,Golden Axe II,011 Golden Axe II.bin,29,Golden Axe,75.8737775561,166,87
MD,Golden Axe II,011 Golden Axe II.bin,29,Golden Axe 2,77.9756758387,51,88
MD,Golden Axe II,011 Golden Axe II.bin,29,Golden Axe 3,78.9024821175,38,88
MD,Golden Axe III,012 Golden Axe III.bin,29,Golden Axe,75.8737775561,166,83
MD,Golden Axe III,012 Golden Axe III.bin,29,Golden Axe 2,77.9756758387,51,85
MD,Golden Axe III,012 Golden Axe III.bin,29,Golden Axe 3,78.9024821175,38,85
GBA,Golden Sun,019 Golden Sun.gba,24,Golden Sun,80.7876252747,100,100
GBA,Golden Sun,019 Golden Sun.gba,24,Golden Sun The Lost Age,88.0246491118,54,61
FC,Goonies II,327 Goonies II.nes,18,The Goonies,50.1824710954,8,67
FC,Goonies II,327 Goonies II.nes,18,The Goonies 2,67.5332803121,14,70
GBA,Gradius Advance,526 Gradius Advance.gba,24,Grand Theft Auto Advance,55.2125601023,14,67
GBA,Gradius Advance,526 Gradius Advance.gba,24,Metal Slug Advance,69.7762820305,21,61
GBA,Gradius Advance,526 Gradius Advance.gba,24,Rayman Advance,76.0761897527,8,62
GBA,Gradius Advance,526 Gradius Advance.gba,24,Serious Sam Advance,70.0,8,71
GBA,Gradius Advance,526 Gradius Advance.gba,24,Sonic Advance,70.1351782301,91,64
GBA,Gradius Advance,526 Gradius Advance.gba,24,Super Mario Advance,77.513720088,27,65
GB,Gradius The Interstellar Assault,124 Gradius-The Interstellar Assault.gb,33,Gradius The Interstellar Assault,71.5869131053,4,100
PS,Gran Turismo,Gran Turismo,7,Gran Turismo,82.6978688518,205,100
PS,Gran Turismo,Gran Turismo,7,Gran Turismo 2,81.3812535642,151,92
FC,Grand Master,329 Grand Master.nes,18,Blaster Master,79.9243846558,23,62
GBC,Grand Theft Auto 1,085 Grand Theft Auto 1.gbc,22,Grand Theft Auto,60.0615135581,4,94
GBC,Grand Theft Auto 1,085 Grand Theft Auto 1.gbc,22,Grand Theft Auto London 1969,66.8510936013,39,78
PS,Grand Theft Auto 2,Grand Theft Auto 2.bin,7,Gran Turismo 2,81.3812535642,151,62
GBC,Grand Theft Auto 2,086 Grand Theft Auto 2.gbc,22,Grand Theft Auto,60.0615135581,4,94
PS,Grand Theft Auto 2,Grand Theft Auto 2.bin,7,Grand Theft Auto,76.0344055237,373,94
PS,Grand Theft Auto 2,Grand Theft Auto 2.bin,7,Grand Theft Auto London 1969,66.8510936013,39,74
GBC,Grand Theft Auto 2,086 Grand Theft Auto 2.gbc,22,Grand Theft Auto London 1969,66.8510936013,39,74
FC,Great Battle Cyber,330 Great Battle Cyber.nes,18,Battle City,81.9870712947,56,62
FC,Gremlins 2 The New Batch,332 Gremlins 2-The New Batch.nes,18,Gremlins II The New Batch,60.0,3,94
FC,Guerrilla War,046 Guerrilla War.nes,18,Guerrilla War,57.9775280899,5,100
FC,Guerrilla War,046 Guerrilla War.nes,18,Guerrilla War,70.1387813172,7,100
FC,Gun Dec,335 Gun-Dec.nes,18,Gun Smoke,75.7829883313,26,62
FC,Gun Dec,335 Gun-Dec.nes,18,Gun Smoke,71.711735131,6,62
MD,Gunstar Super Heroes,038 Gunstar Super Heroes.bin,29,Gunstar Heroes,84.5498425524,56,82
GBA,Gunstar Super Heroes,328 Gunstar Super Heroes.gba,24,Gunstar Super Heroes,79.8978637766,13,100
FC,Gyrodine,336 Gyrodine.nes,18,Gyromite,49.7095771458,5,75
FC,Gyromite,337 Gyromite.nes,18,Gyromite,49.7095771458,5,100
FC,Gyruss,338 Gyruss.nes,18,Gyruss,68.5548572337,15,100
GB,Hal Wrestling,Hal Wrestling.gb,33,Hal Wrestling,56.0,1,100
GBA,Hamtaro Ham Ham Games,119 Hamtaro Ham Ham Games.gba,24,Hamtaro Ham Ham Heartbreak,70.2228030208,9,77
MD,Hard Drivin,554 Hard Drivin'.bin,29,Race Drivin,59.0,3,73
GBC,Harry Potter And The Sorcerer s Stone,087 Harry Potter And The Sorcerer's Stone.gbc,22,Harry Potter and the Sorcerer s Stone,62.9032258065,6,95
GBA,Harry Potter and The Chamber of Secrets,104 Harry Potter and The Chamber of Secrets.gba,24,Harry Potter and the Sorcerer s Stone,66.9870537466,8,68
PS,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,7,Harry Potter and the Chamber of Secrets,76.8088357345,5,100
PS,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,7,Harry Potter and the Sorcerer s Stone,73.4221206559,226,71
GBA,Harry Potter and the Goblet of Fire,106 Harry Potter and the Goblet of Fire.gba,24,Harry Potter and the Sorcerer s Stone,66.9870537466,8,72
GBA,Harry Potter and the Order of the Phoenix,107 Harry Potter and the Order of the Phoenix.gba,24,Harry Potter and the Sorcerer s Stone,66.9870537466,8,74
GBA,Harry Potter and the Prisoner of Azkaban,105 Harry Potter and the Prisoner of Azkaban.gba,24,Harry Potter and the Sorcerer s Stone,66.9870537466,8,70
GBA,Harry Potter and the Sorcerer s Stone,103 Harry Potter and the Sorcerer's Stone.gba,24,Harry Potter and the Sorcerer s Stone,66.9870537466,8,100
GB,Harvest Moon,043 Harvest Moon.gb,33,Harvest Moon GB,78.5371702638,5,89
GBC,Harvest Moon 2,006 Harvest Moon 2.gbc,22,Harvest Moon 3 GBC,77.0,2,81
GBC,Harvest Moon 2,006 Harvest Moon 2.jpg,22,Harvest Moon 3 GBC,77.0,2,81
GBC,Harvest Moon 3,007 Harvest Moon 3.gbc,22,Harvest Moon 3 GBC,77.0,2,88
GBC,Harvest Moon 3,007 Harvest Moon 3.jpg,22,Harvest Moon 3 GBC,77.0,2,88
PS,Harvest Moon Back to Nature,Harvest Moon-Back to Nature.iso,7,Harvest Moon Back to Nature,85.5318377678,37,100
GBA,Harvest Moon Mineral Town,072 Harvest Moon-Mineral Town.gba,24,Harvest Moon Friends of Mineral Town,88.3976431548,21,82
GBA,Harvest Moon More Friends of Mineral Town,073 Harvest Moon-More Friends of Mineral Town.gba,24,Harvest Moon Friends of Mineral Town,88.3976431548,21,94
FC,Hatris,343 Hatris.nes,18,Hatris,63.0,2,100
FC,Hatris,343 Hatris.nes,18,Tetris,86.6009220419,876,67
